,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,RTT,Timestamp,New-RTT,Old-RTT
0,0,0,0,0.001,0,0.015000000000000003,0.014000000000000002
1,1,1,1,0.002,0,0.05600000000000001,0.054000000000000006
2,2,2,2,0.004,10,0.015000000000000003,0.011000000000000003
3,3,3,3,0.005,10,0.029,0.024
4,4,4,4,0.002,15,0.015000000000000001,0.013000000000000001
5,5,5,5,0.001,20,0.034,0.033
6,6,6,6,0.001,30,0.018000000000000002,0.017
7,7,7,7,0.001,30,0.035,0.034
8,8,8,8,0.003,35,0.044000000000000004,0.041
9,9,9,9,0.001,45,0.016,0.015000000000000001
10,10,10,10,0.003,45,0.025,0.022000000000000002
11,11,11,11,0.001,50,0.018000000000000002,0.017
12,12,12,12,0.001,55,0.030000000000000002,0.029
13,13,13,13,0.003,65,0.011,0.008
14,14,14,14,0.001,70,0.024,0.023
15,15,15,15,0.003,70,0.053000000000000005,0.05
16,16,16,16,0.001,75,0.005,0.004
17,17,17,17,0.001,85,0.007,0.006
18,18,18,18,0.001,85,0.007,0.006
19,19,19,19,0.001,90,0.008,0.007
20,20,20,20,0.001,95,0.006,0.005
21,21,21,21,0.001,100,0.007,0.006
22,22,22,22,0.001,105,0.032,0.031000000000000003
23,23,23,23,0.001,110,0.005,0.004
24,24,24,24,0.001,120,0.005,0.004
25,25,25,25,0.001,120,0.006,0.005
26,26,26,26,0.001,125,0.014000000000000002,0.013000000000000001
27,27,27,27,0.001,130,0.006,0.005
28,28,28,28,0.001,135,0.006,0.005
29,29,29,29,0.001,140,0.013000000000000001,0.012
30,30,30,30,0.001,145,0.009000000000000001,0.008
31,31,31,31,0.001,150,0.016,0.015
32,32,32,32,0.001,155,0.005,0.004
33,33,33,33,0.001,165,0.046000000000000006,0.045000000000000005
34,34,34,34,0.001,165,0.006,0.005
35,35,35,35,0.001,170,0.008,0.007
36,36,36,36,0.001,180,0.007,0.006
37,37,37,37,0.001,185,0.006,0.005
38,38,38,38,0.001,185,0.044,0.043
39,39,39,39,0.001,190,0.015,0.013999999999999999
40,40,40,40,0.001,195,0.008,0.007
