,Latency,Time
0,0.001950929708647891,0
1,0.0034854469002020775,5
2,0.001929394518127083,10
3,0.0017287706863862696,15
4,0.0034428225048322926,20
5,0.0017285241334611783,25
6,0.0023107824447070016,30
7,0.0016640929131099256,35
8,0.0014770109081437112,40
9,0.0022161845011869448,45
10,0.005152721426522476,50
11,0.0023643239264929433,55
12,0.008076096802164102,60
13,0.004858190032900894,65
14,0.002599314619685174,70
15,0.0027040901768632464,75
16,0.002361674238476553,80
17,0.006424158812995302,85
18,0.00250507242702588,90
19,0.0031553246633993694,95
20,0.0021807728594721992,100
21,0.003057616764242994,105
22,0.005972353293866035,110
23,0.0021417480966920265,115
24,0.008576777004389443,120
25,0.0028451814318686958,125
26,0.0019229918189957972,130
27,0.006138152139945306,135
28,0.0036731659279030282,140
29,0.0014807668488501804,145
30,0.001987269768389524,150
31,0.006155780301734921,155
32,0.001997098792300676,160
33,0.0018673781467659863,165
34,0.008689820300787687,170
35,0.005237311467601103,175
36,0.00682016946397198,180
37,0.004235200545852422,185
38,0.0063535019777482375,190
39,0.0017319888779748,195
40,0.0020769967416563303,200
41,0.009596488966184553,205
42,0.002938677534213639,210
43,0.002685778863422456,215
44,0.001669246085890336,220
45,0.006387718869329546,225
46,0.003059152819318115,230
47,0.003932778662681813,235
48,0.0017330504875717452,240
49,0.0019786319731356344,245
50,0.0025828419033641697,250
